Reference Number,Easting,Northing,Number of Vehicles,Casualty Severity,Age of Casualty,Accident Date,Hours,Minuts,1st Road Class_A,1st Road Class_A(M),1st Road Class_B,1st Road Class_Motorway,1st Road Class_Unclassified,Road Surface_Dry,Road Surface_Frost / Ice,Road Surface_Wet / Damp,Lighting Conditions_Darkness: no street lighting,Lighting Conditions_Darkness: street lighting unknown,Lighting Conditions_Darkness: street lights present and lit,Lighting Conditions_Darkness: street lights present but unlit,Lighting Conditions_Daylight: street lights present,Weather Conditions_Fine with high winds,Weather Conditions_Fine without high winds,Weather Conditions_Fog or mist – if hazard,Weather Conditions_Raining with high winds,Weather Conditions_Raining without high winds,Casualty Class_Driver,Casualty Class_Passenger,Casualty Class_Pedestrian,Sex of Casualty_Female,Sex of Casualty_Male,Type of Vehicle_Agricultural vehicle (includes diggers etc.),Type of Vehicle_Bus or coach (17 or more passenger seats),Type of Vehicle_Car,Type of Vehicle_Goods vehicle 3.5 tonnes mgw and under,Type of Vehicle_Goods vehicle 7.5 tonnes mgw and over,Type of Vehicle_Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Type of Vehicle_M/cycle 50cc and under,Type of Vehicle_Minibus (8 – 16 passenger seats),Type of Vehicle_Motorcycle over 125cc and up to 500cc,Type of Vehicle_Motorcycle over 500cc,Type of Vehicle_Motorcycle over 50cc and up to 125cc,Type of Vehicle_Pedal cycle,Type of Vehicle_Ridden horse,Type of Vehicle_Taxi/Private hire car
110047130.0,440436.84,439205.0,2.0,2,62.0,2011-01-28,7,12,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,425059.0,433371.0,2.0,2,39.0,2011-01-28,8,30,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,421531.75,434373.0,1.0,1,66.0,2011-01-28,12,15,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,431097.0,433000.0,1.0,1,39.0,2011-01-28,17,35,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110047130.0,429523.0,433820.0,2.0,2,29.0,2011-01-28,12,30,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,427893.0,434624.0,2.0,2,26.0,2011-01-28,7,55,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110047130.0,421531.75,440320.0,1.0,1,11.0,2011-01-28,8,8,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,432494.0,433751.0,3.0,2,61.0,2011-01-28,9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,428108.0,432802.0,2.0,2,30.0,2011-01-28,7,55,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,421531.75,440258.0,2.0,2,59.0,2011-01-28,16,35,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110047130.0,428370.0,431571.0,3.0,2,10.0,2011-01-28,14,7,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,430472.0,435630.0,2.0,2,23.0,2011-01-28,7,50,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110047130.0,428427.0,434017.0,2.0,1,26.0,2011-01-28,19,40,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,428427.0,434017.0,2.0,2,30.0,2011-01-28,19,40,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,430711.0,433060.0,2.0,2,22.0,2011-01-28,18,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,433155.0,426478.1,1.0,1,13.0,2011-01-28,9,20,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,427496.0,431324.0,3.0,2,66.0,2011-01-28,10,25,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,427496.0,431324.0,3.0,2,33.0,2011-01-28,10,25,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,427496.0,431324.0,3.0,2,46.0,2011-01-28,10,25,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,427496.0,431324.0,3.0,2,30.0,2011-01-28,10,25,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,440364.0,432921.0,1.0,2,41.0,2011-01-28,14,50,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,428420.0,428769.0,2.0,2,49.0,2011-01-28,13,50,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,428420.0,428769.0,2.0,2,40.0,2011-01-28,13,50,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,440436.84,431677.0,2.0,2,56.0,2011-01-28,15,13,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110047130.0,421531.75,441043.0,2.0,2,41.0,2011-01-28,17,50,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,423699.0,434572.0,2.0,1,58.0,2011-01-28,17,25,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,423699.0,434572.0,2.0,2,72.0,2011-01-28,17,25,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,423699.0,434572.0,2.0,2,49.0,2011-01-28,17,25,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,433877.0,434054.0,2.0,2,35.0,2011-01-28,19,38,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,438120.0,442479.9,1.0,2,35.0,2011-01-28,5,17,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,431401.0,433650.0,1.0,2,53.0,2011-01-28,5,17,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,431329.0,426478.1,3.0,2,19.0,2011-01-28,19,20,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,428556.0,432730.0,2.0,2,29.0,2011-01-28,12,50,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,424194.0,438765.0,2.0,2,18.0,2011-01-28,11,45,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,424194.0,438765.0,2.0,2,18.0,2011-01-28,11,45,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,429560.0,431576.0,1.0,2,49.0,2011-01-28,13,45,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110047130.0,429560.0,431576.0,1.0,1,64.0,2011-01-28,13,45,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
